F_Id,F_ParentId,F_EnCode,F_FullName,F_IsTree,F_Layers,F_SortCode,F_DeleteMark,F_EnabledMark,F_Description,F_CreateTime,F_CreatorUserId,F_LastModifyTime,F_LastModifyUserId,F_DeleteTime,F_DeleteUserId
77070117-3F1A-41BA-BF81-B8B85BF10D5E,0,Sys_Items,通用字典,FALSE,1,1,FALSE,TRUE,,,,,,,
9EB4602B-BF9A-4710-9D80-C73CE89BEC5D,77070117-3F1A-41BA-BF81-B8B85BF10D5E,OrganizeCategory,机构分类,FALSE,2,2,FALSE,TRUE,,,,,,,
D94E4DC1-C2FD-4D19-9D5D-3886D39900CE,77070117-3F1A-41BA-BF81-B8B85BF10D5E,RoleType,角色类型,FALSE,2,3,FALSE,TRUE,,,,,,,
0DF5B725-5FB8-487F-B0E4-BC563A77EB04,77070117-3F1A-41BA-BF81-B8B85BF10D5E,DbType,数据库类型,FALSE,2,4,FALSE,TRUE,,,,,,,
9a7079bd-0660-4549-9c2d-db5e8616619f,77070117-3F1A-41BA-BF81-B8B85BF10D5E,DbLogType,系统日志,FALSE,2,16,FALSE,TRUE,,2016/7/19 17:09,,,,,
954AB9A1-9928-4C6D-820A-FC1CDC85CDE0,77070117-3F1A-41BA-BF81-B8B85BF10D5E,AuditState,审核状态,FALSE,2,6,FALSE,TRUE,,,,,,,
2748F35F-4EE2-417C-A907-3453146AAF67,77070117-3F1A-41BA-BF81-B8B85BF10D5E,Certificate,证件名称,FALSE,2,7,FALSE,TRUE,,,,,,,
00F76465-DBBA-484A-B75C-E81DEE9313E6,77070117-3F1A-41BA-BF81-B8B85BF10D5E,Education,学历,FALSE,2,8,FALSE,TRUE,,,,,,,
FA7537E2-1C64-4431-84BF-66158DD63269,77070117-3F1A-41BA-BF81-B8B85BF10D5E,101,婚姻,FALSE,2,12,FALSE,TRUE,,,,,,,
8CEB2F71-026C-4FA6-9A61-378127AE7320,77070117-3F1A-41BA-BF81-B8B85BF10D5E,102,生育,FALSE,2,13,FALSE,TRUE,,,,,,,
15023A4E-4856-44EB-BE71-36A106E2AA59,77070117-3F1A-41BA-BF81-B8B85BF10D5E,103,民族,FALSE,2,14,FALSE,TRUE,,,,,,,
BDD797C3-2323-4868-9A63-C8CC3437AEAA,77070117-3F1A-41BA-BF81-B8B85BF10D5E,104,性别,FALSE,2,15,FALSE,TRUE,,,,,,,
